sl_no,branch,sem,code,course_name,reg_no,name,credits
1,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243003,Deepak M,3
2,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243003,Deepak M,3
3,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243003,Deepak M,3
4,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243003,Deepak M,3
5,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243003,Deepak M,3
6,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243003,Deepak M,3
7,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243035,Jayant R,3
8,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243035,Jayant R,3
9,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243035,Jayant R,3
10,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243035,Jayant R,3
11,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243035,Jayant R,3
12,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243035,Jayant R,3
13,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243159,Ishwarya S,3
14,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243159,Ishwarya S,3
15,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243159,Ishwarya S,3
16,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243159,Ishwarya S,3
17,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243159,Ishwarya S,3
18,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243159,Ishwarya S,3
19,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243220,Deepak T,3
20,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243220,Deepak T,3
21,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243220,Deepak T,3
22,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243220,Deepak T,3
23,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243220,Deepak T,3
24,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243220,Deepak T,3
25,AI&DS,7,U23CB103,U23CB103 - Computer Science & Business Systems (Sem 7),722823243058,Chandran A,3
26,AI&DS,7,U23CB104,U23CB104 - Computer Science & Business Systems (Sem 7),722823243058,Chandran A,3
27,AI&DS,7,U23AM586,U23AM586 - Machine Learning & Neural Networks (Sem 7),722823243058,Chandran A,3
28,AI&DS,7,U23OME06,U23OME06 - AI&DS Core Subject (Sem 7),722823243058,Chandran A,3
29,AI&DS,7,U23AD511,U23AD511 - Artificial Intelligence & Data Science (Sem 7),722823243058,Chandran A,3
30,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243001,Naveen M,3
31,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243001,Naveen M,3
32,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243001,Naveen M,3
33,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243001,Naveen M,3
34,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243001,Naveen M,3
35,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243001,Naveen M,3
36,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243116,Aravind K,3
37,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243116,Aravind K,3
38,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243116,Aravind K,3
39,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243116,Aravind K,3
40,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243116,Aravind K,3
41,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243116,Aravind K,3
42,AI&DS,7,U23CB103,U23CB103 - Computer Science & Business Systems (Sem 7),722823243112,Harini R,3
43,AI&DS,7,U23CB104,U23CB104 - Computer Science & Business Systems (Sem 7),722823243112,Harini R,3
44,AI&DS,7,U23AM586,U23AM586 - Machine Learning & Neural Networks (Sem 7),722823243112,Harini R,3
45,AI&DS,7,U23OME06,U23OME06 - AI&DS Core Subject (Sem 7),722823243112,Harini R,3
46,AI&DS,7,U23AD511,U23AD511 - Artificial Intelligence & Data Science (Sem 7),722823243112,Harini R,3
47,AI&DS,7,U23CB103,U23CB103 - Computer Science & Business Systems (Sem 7),722823243141,Sanjay A,3
48,AI&DS,7,U23CB104,U23CB104 - Computer Science & Business Systems (Sem 7),722823243141,Sanjay A,3
49,AI&DS,7,U23AM586,U23AM586 - Machine Learning & Neural Networks (Sem 7),722823243141,Sanjay A,3
50,AI&DS,7,U23OME06,U23OME06 - AI&DS Core Subject (Sem 7),722823243141,Sanjay A,3
51,AI&DS,7,U23AD511,U23AD511 - Artificial Intelligence & Data Science (Sem 7),722823243141,Sanjay A,3
52,AI&DS,5,U23AD401,U23AD401 - Artificial Intelligence & Data Science (Sem 5),722824243007,Aravind T,3
53,AI&DS,5,U23AD484,U23AD484 - Artificial Intelligence & Data Science (Sem 5),722824243007,Aravind T,3
54,AI&DS,5,U23IT484,U23IT484 - Information Technology & Cloud Systems (Sem 5),722824243007,Aravind T,3
55,AI&DS,5,U23AM491,U23AM491 - Machine Learning & Neural Networks (Sem 5),722824243007,Aravind T,3
56,AI&DS,5,U23CB593,U23CB593 - Computer Science & Business Systems (Sem 5),722824243007,Aravind T,3
57,AI&DS,5,U23EC384,U23EC384 - Electronics & Communication Systems (Sem 5),722824243007,Aravind T,3
58,AI&DS,5,U23AD401,U23AD401 - Artificial Intelligence & Data Science (Sem 5),722824243015,Harini T,3
59,AI&DS,5,U23AD484,U23AD484 - Artificial Intelligence & Data Science (Sem 5),722824243015,Harini T,3
60,AI&DS,5,U23IT484,U23IT484 - Information Technology & Cloud Systems (Sem 5),722824243015,Harini T,3
61,AI&DS,5,U23AM491,U23AM491 - Machine Learning & Neural Networks (Sem 5),722824243015,Harini T,3
62,AI&DS,5,U23CB593,U23CB593 - Computer Science & Business Systems (Sem 5),722824243015,Harini T,3
63,AI&DS,5,U23EC384,U23EC384 - Electronics & Communication Systems (Sem 5),722824243015,Harini T,3
64,AI&DS,5,U23AD401,U23AD401 - Artificial Intelligence & Data Science (Sem 5),722824243134,Naveen R,3
65,AI&DS,5,U23AD484,U23AD484 - Artificial Intelligence & Data Science (Sem 5),722824243134,Naveen R,3
66,AI&DS,5,U23IT484,U23IT484 - Information Technology & Cloud Systems (Sem 5),722824243134,Naveen R,3
67,AI&DS,5,U23AM491,U23AM491 - Machine Learning & Neural Networks (Sem 5),722824243134,Naveen R,3
68,AI&DS,5,U23CB593,U23CB593 - Computer Science & Business Systems (Sem 5),722824243134,Naveen R,3
69,AI&DS,5,U23EC384,U23EC384 - Electronics & Communication Systems (Sem 5),722824243134,Naveen R,3
70,AI&DS,5,U23AD401,U23AD401 - Artificial Intelligence & Data Science (Sem 5),722824243302,Pavithra A,3
71,AI&DS,5,U23AD484,U23AD484 - Artificial Intelligence & Data Science (Sem 5),722824243302,Pavithra A,3
72,AI&DS,5,U23IT484,U23IT484 - Information Technology & Cloud Systems (Sem 5),722824243302,Pavithra A,3
73,AI&DS,5,U23AM491,U23AM491 - Machine Learning & Neural Networks (Sem 5),722824243302,Pavithra A,3
74,AI&DS,5,U23CB593,U23CB593 - Computer Science & Business Systems (Sem 5),722824243302,Pavithra A,3
75,AI&DS,5,U23EC384,U23EC384 - Electronics & Communication Systems (Sem 5),722824243302,Pavithra A,3
76,AI&DS,5,U23AD401,U23AD401 - Artificial Intelligence & Data Science (Sem 5),722824243309,Jayant M,3
77,AI&DS,5,U23AD484,U23AD484 - Artificial Intelligence & Data Science (Sem 5),722824243309,Jayant M,3
78,AI&DS,5,U23IT484,U23IT484 - Information Technology & Cloud Systems (Sem 5),722824243309,Jayant M,3
79,AI&DS,5,U23AM491,U23AM491 - Machine Learning & Neural Networks (Sem 5),722824243309,Jayant M,3
80,AI&DS,5,U23CB593,U23CB593 - Computer Science & Business Systems (Sem 5),722824243309,Jayant M,3
81,AI&DS,5,U23EC384,U23EC384 - Electronics & Communication Systems (Sem 5),722824243309,Jayant M,3
82,AI&DS,5,U23AD401,U23AD401 - Artificial Intelligence & Data Science (Sem 5),722824243246,Gokul N,3
83,AI&DS,5,U23AD484,U23AD484 - Artificial Intelligence & Data Science (Sem 5),722824243246,Gokul N,3
84,AI&DS,5,U23IT484,U23IT484 - Information Technology & Cloud Systems (Sem 5),722824243246,Gokul N,3
85,AI&DS,5,U23AM491,U23AM491 - Machine Learning & Neural Networks (Sem 5),722824243246,Gokul N,3
86,AI&DS,5,U23CB593,U23CB593 - Computer Science & Business Systems (Sem 5),722824243246,Gokul N,3
87,AI&DS,5,U23EC384,U23EC384 - Electronics & Communication Systems (Sem 5),722824243246,Gokul N,3
