name,reg_no,course_code,course_name,semester,branch,section,difficulty
Ishaan Kumar,24CS001,MA101,Engineering Mathematics I,1,CSE,A,medium
Ishaan Kumar,24CS001,PH101,Engineering Physics,1,CSE,A,easy
Ishaan Kumar,24CS001,CS101,Problem Solving & C,1,CSE,A,hard
Ishaan Kumar,24CS001,EN101,English Communication,1,CSE,A,easy
Ishaan Kumar,24CS001,CS102,Digital Fundamentals,1,CSE,A,medium
Raja Iyer,24CS002,MA101,Engineering Mathematics I,1,CSE,A,medium
Raja Iyer,24CS002,PH101,Engineering Physics,1,CSE,A,easy
Raja Iyer,24CS002,CS101,Problem Solving & C,1,CSE,A,hard
Raja Iyer,24CS002,EN101,English Communication,1,CSE,A,easy
Raja Iyer,24CS002,CS102,Digital Fundamentals,1,CSE,A,medium
Naveen Reddy,24CS003,MA101,Engineering Mathematics I,1,CSE,A,medium
Naveen Reddy,24CS003,PH101,Engineering Physics,1,CSE,A,easy
Naveen Reddy,24CS003,CS101,Problem Solving & C,1,CSE,A,hard
Naveen Reddy,24CS003,EN101,English Communication,1,CSE,A,easy
Naveen Reddy,24CS003,CS102,Digital Fundamentals,1,CSE,A,medium
Harish Sundar,24CS004,MA101,Engineering Mathematics I,1,CSE,A,medium
Harish Sundar,24CS004,PH101,Engineering Physics,1,CSE,A,easy
Harish Sundar,24CS004,CS101,Problem Solving & C,1,CSE,A,hard
Harish Sundar,24CS004,EN101,English Communication,1,CSE,A,easy
Harish Sundar,24CS004,CS102,Digital Fundamentals,1,CSE,A,medium
Kiran Patel,24CS005,MA101,Engineering Mathematics I,1,CSE,A,medium
Kiran Patel,24CS005,PH101,Engineering Physics,1,CSE,A,easy
Kiran Patel,24CS005,CS101,Problem Solving & C,1,CSE,A,hard
Kiran Patel,24CS005,EN101,English Communication,1,CSE,A,easy
Kiran Patel,24CS005,CS102,Digital Fundamentals,1,CSE,A,medium
Ragul Selvam,24CS006,MA101,Engineering Mathematics I,1,CSE,A,medium
Ragul Selvam,24CS006,PH101,Engineering Physics,1,CSE,A,easy
Ragul Selvam,24CS006,CS101,Problem Solving & C,1,CSE,A,hard
Ragul Selvam,24CS006,EN101,English Communication,1,CSE,A,easy
Ragul Selvam,24CS006,CS102,Digital Fundamentals,1,CSE,A,medium
Anjali Kumar,24CS007,MA101,Engineering Mathematics I,1,CSE,A,medium
Anjali Kumar,24CS007,PH101,Engineering Physics,1,CSE,A,easy
Anjali Kumar,24CS007,CS101,Problem Solving & C,1,CSE,A,hard
Anjali Kumar,24CS007,EN101,English Communication,1,CSE,A,easy
Anjali Kumar,24CS007,CS102,Digital Fundamentals,1,CSE,A,medium
Ganesh Pillai,24CS008,MA101,Engineering Mathematics I,1,CSE,A,medium
Ganesh Pillai,24CS008,PH101,Engineering Physics,1,CSE,A,easy
Ganesh Pillai,24CS008,CS101,Problem Solving & C,1,CSE,A,hard
Ganesh Pillai,24CS008,EN101,English Communication,1,CSE,A,easy
Ganesh Pillai,24CS008,CS102,Digital Fundamentals,1,CSE,A,medium
Nithya Natarajan,24CS009,MA101,Engineering Mathematics I,1,CSE,A,medium
Nithya Natarajan,24CS009,PH101,Engineering Physics,1,CSE,A,easy
Nithya Natarajan,24CS009,CS101,Problem Solving & C,1,CSE,A,hard
Nithya Natarajan,24CS009,EN101,English Communication,1,CSE,A,easy
Nithya Natarajan,24CS009,CS102,Digital Fundamentals,1,CSE,A,medium
Tamilarasi Kumar,24CS010,MA101,Engineering Mathematics I,1,CSE,A,medium
Tamilarasi Kumar,24CS010,PH101,Engineering Physics,1,CSE,A,easy
Tamilarasi Kumar,24CS010,CS101,Problem Solving & C,1,CSE,A,hard
Tamilarasi Kumar,24CS010,EN101,English Communication,1,CSE,A,easy
Tamilarasi Kumar,24CS010,CS102,Digital Fundamentals,1,CSE,A,medium
Madhan Pillai,24CS011,MA101,Engineering Mathematics I,1,CSE,A,medium
Madhan Pillai,24CS011,PH101,Engineering Physics,1,CSE,A,easy
Madhan Pillai,24CS011,CS101,Problem Solving & C,1,CSE,A,hard
Madhan Pillai,24CS011,EN101,English Communication,1,CSE,A,easy
Madhan Pillai,24CS011,CS102,Digital Fundamentals,1,CSE,A,medium
Kiran Selvam,24CS012,MA101,Engineering Mathematics I,1,CSE,A,medium
Kiran Selvam,24CS012,PH101,Engineering Physics,1,CSE,A,easy
Kiran Selvam,24CS012,CS101,Problem Solving & C,1,CSE,A,hard
Kiran Selvam,24CS012,EN101,English Communication,1,CSE,A,easy
Kiran Selvam,24CS012,CS102,Digital Fundamentals,1,CSE,A,medium
Naveen Pandian,24CS013,MA101,Engineering Mathematics I,1,CSE,A,medium
Naveen Pandian,24CS013,PH101,Engineering Physics,1,CSE,A,easy
Naveen Pandian,24CS013,CS101,Problem Solving & C,1,CSE,A,hard
Naveen Pandian,24CS013,EN101,English Communication,1,CSE,A,easy
Naveen Pandian,24CS013,CS102,Digital Fundamentals,1,CSE,A,medium
Ragul Menon,24CS014,MA101,Engineering Mathematics I,1,CSE,A,medium
Ragul Menon,24CS014,PH101,Engineering Physics,1,CSE,A,easy
Ragul Menon,24CS014,CS101,Problem Solving & C,1,CSE,A,hard
Ragul Menon,24CS014,EN101,English Communication,1,CSE,A,easy
Ragul Menon,24CS014,CS102,Digital Fundamentals,1,CSE,A,medium
Aarav Raghavan,24CS015,MA101,Engineering Mathematics I,1,CSE,A,medium
Aarav Raghavan,24CS015,PH101,Engineering Physics,1,CSE,A,easy
Aarav Raghavan,24CS015,CS101,Problem Solving & C,1,CSE,A,hard
Aarav Raghavan,24CS015,EN101,English Communication,1,CSE,A,easy
Aarav Raghavan,24CS015,CS102,Digital Fundamentals,1,CSE,A,medium
Krithika Anand,24CS016,MA101,Engineering Mathematics I,1,CSE,A,medium
Krithika Anand,24CS016,PH101,Engineering Physics,1,CSE,A,easy
Krithika Anand,24CS016,CS101,Problem Solving & C,1,CSE,A,hard
Krithika Anand,24CS016,EN101,English Communication,1,CSE,A,easy
Krithika Anand,24CS016,CS102,Digital Fundamentals,1,CSE,A,medium
Vinay Rajan,24CS017,MA101,Engineering Mathematics I,1,CSE,A,medium
Vinay Rajan,24CS017,PH101,Engineering Physics,1,CSE,A,easy
Vinay Rajan,24CS017,CS101,Problem Solving & C,1,CSE,A,hard
Vinay Rajan,24CS017,EN101,English Communication,1,CSE,A,easy
Vinay Rajan,24CS017,CS102,Digital Fundamentals,1,CSE,A,medium
Raja Reddy,24CS018,MA101,Engineering Mathematics I,1,CSE,A,medium
Raja Reddy,24CS018,PH101,Engineering Physics,1,CSE,A,easy
Raja Reddy,24CS018,CS101,Problem Solving & C,1,CSE,A,hard
Raja Reddy,24CS018,EN101,English Communication,1,CSE,A,easy
Raja Reddy,24CS018,CS102,Digital Fundamentals,1,CSE,A,medium
Nandini Raghavan,24CS019,MA101,Engineering Mathematics I,1,CSE,A,medium
Nandini Raghavan,24CS019,PH101,Engineering Physics,1,CSE,A,easy
Nandini Raghavan,24CS019,CS101,Problem Solving & C,1,CSE,A,hard
Nandini Raghavan,24CS019,EN101,English Communication,1,CSE,A,easy
Nandini Raghavan,24CS019,CS102,Digital Fundamentals,1,CSE,A,medium
Shruti Singh,24CS020,MA101,Engineering Mathematics I,1,CSE,A,medium
Shruti Singh,24CS020,PH101,Engineering Physics,1,CSE,A,easy
Shruti Singh,24CS020,CS101,Problem Solving & C,1,CSE,A,hard
Shruti Singh,24CS020,EN101,English Communication,1,CSE,A,easy
Shruti Singh,24CS020,CS102,Digital Fundamentals,1,CSE,A,medium
Ganesh Murugan,24CS021,MA101,Engineering Mathematics I,1,CSE,A,medium
Ganesh Murugan,24CS021,PH101,Engineering Physics,1,CSE,A,easy
Ganesh Murugan,24CS021,CS101,Problem Solving & C,1,CSE,A,hard
